序号	时机	人物1	位置1	对白1	人物2	位置2	对白2	人物3	位置3	对白3	人物4	位置4	对白4	人物5	位置5	对白5	人物6	位置6	对白6	人物7	位置7	对白7	空列
56	1	-9	2	제갈량: 주공， 이 앞의 산세는 매우 험난합니다. 병사들이 지형에 익숙지 못하여 실수 할 수 있으니 우선 제 막사에서 회의를 하시지요.	-5	2	유비: 어이 어이 어이， 남녀가 유별한데 백주대낮에 같이 막사에 들어가자는 거야? 여기가 산이라 망정이지 성도였으면 방 잡아야 하는 거 아니야?!	-1	1	주공: 현덕， 제갈량과 나는 아무 사이도 아니라니까…	-9	2	제갈량: 아직도 할 일이 많이 남았습니다. 대국을 중시하시지요.										
57	0	-1	1	주공: 말 잘했네. 싸움은 싸움이고， 사생활은 사생활이지. 두 사람， 사적인 감정을 일에 섞지 말아줘. 특히 유비 너!	-5	2	유비: 처음에 나보고 황건적을 물리치자고 할 때는 나를 좋아하는 척 하더니， 이젠 제갈량이 있으니 나는 찬밥 취급하는 거냐!	-1	1	주공: 이제 모두 같은 배를 탔으니 그런 걸로 소심하게 그러지 말자구. 황건적을 소탕하면 진짜 황금이 있을 거라고. 그 때 가서 누가 누굴 좋아하든 상관도 안 할 거잖아.	-9	2	제갈량: 주공 말이 맞습니다. 먼저 황건적 잔당들을 없앤 후 남녀 사이를 논하는 것이 맞습니다.										
58	0	-5	2	유비: 이것들이 하루 종일 둘이서만 같이 있고 나만 병사들을 이끌고 전쟁을 나가게 하다니 정말 너무하네.	90002	1	장수1: 주공께서는 그저 모든 남자들이 범하는 우를 범하는 것 뿐입니다.	-5	2	유비: 응? 너도 그런 철학적인 말을 할 줄 아느냐? 어디서 들어본 것 같은데?	90002	1	장수1: 저 앞에 먼지가 흩날리는 것을 보니 적군 같습니다!	-5	2	유비: 기병은 나를 따르라!							
59	0	-1	1	주공: 역시 와룡이라는 말을 그냥 얻은 건 아닌가 보구나. 덕분에 여기까지 순조롭게 온 것 같군.	-9	2	제갈량: 주공의 보살핌 덕분입니다. 이제 곧 허창입니다. 황건적이 진을 치고 있을 테니 경계를 늦추어서는 안 될 것 입니다.	-5	2	유비: 왜 저 두 사람이 얘기 할 때는 항상 뭔가 이상한 것 같지?	90002	1	장수1: 아… 시간이 가면 정이 든다고 하지 않습니까.										
60	0	-5	2	유비: 이제 알겠다. 이 요새만 지나면 허창이라는 거지.	-9	2	제갈량: 언니 조심하셔야 합니다. 장각은 계략에 능합니다. 관문에 분명 병사들을 배치했을 겁니다. 차라리 관문 옆 쪽에 있는 작은 길을 따라 가는 것이 나을 것 같아요.	-5	2	유비: 상관 없어. 오늘 너무 많이 걸어서 네 발로 기어들어가게 될 거 같으니까.	61	2	허저: 유비인가? 본장은 천공장군의 명을 받들어 이 곳에서 오랫동안 기다려 왔다!	-1	1	주공: 왜 맘대로 기다리고 난리야! 허저까지 배반하고 황건적이 되다니. 이거 귀찮게 됐네.							
61	1	-1	1	주공: 거기 짚신 파는 유현덕씨， 당신 때문에 우리 하마터면 여기에 묻힐 뻔 했던 거 알아? 몰라?	-5	2	유비: 흥. 제갈량 동생이 있는데， 우리가 이기지 못할 싸움이 어디 있겠어? 안 그래?	-9	2	제갈량: 이제 곧 허창입니다. 먼저 옥새를 찾고 어떻게 할지 생각해 보지요.	-1	1	주공: 그래 맞아. 현덕은 이 일의 심각성을 모르는 것 같아. 이제부터 더 힘들어질 텐데.										
62	0	93	2	조조: 모두 큰일 났네! 황건적들이 무슨 짓을 한 것인지는 알 수 없으나 요괴와 괴수들을 몰고 왔네. 이번에는 죽게 될 거야!	-1	1	주공; 제발 그런 말 좀 쉽게 얘기 하지 말아주세요. 병사들이 놀래잖아요?	93	2	조조: 형제여， 그 황건적 장군들은 피도 눈물도 없는 놈들이네. 무수한 형제들이 죽고 다쳤어도 막을 수가 없었어. 지금 철수하지 않으면 늦을 걸세.													
63	0	-1	1	주공: 이 황건적들은 도대체 어떻게 된 거지? 이전보다 훨씬 싸우기가 힘들잖아? 거기다 다들 모습도 이상한 거 같고?	-9	2	제갈량: 정말 이상합니다. 몸은 인간의 몸을 하고 있으나 어째서인지 칼로도 꿈쩍 않고 도끼로 베어도 꿈쩍을 않네요.	-5	2	유비: 아이 이것들이 어디 못생긴 낯짝을 들이밀어! 깜짝 놀라게….앗 또 한 무더기가 온다!													
64	0	93	2	조조: 이 놈들은 해치우기가 쉽지 않군， 우리도 부상을 많이 입었소. 모두들 빨리 방법을 생각해 보게!	-9	2	제갈량: 거기 네 놈들은 누구의 수하냐? 교전을 하면서 이름도 밝히지 않고 어찌 무장이라 할 수 있겠는가?	90014	2	황건적: 우……	-9	2	제갈량: 어찌 사람의 말조차 하지 못하는 것인가?										
65	1	-1	1	주공: 제갈량， 도대체 무슨 일이 벌어지고 있는 건지 그 진상을 좀 알아봐야 될 것 같아!	-9	2	제갈량: 병사들의 두 눈이 붉고 사지가 뻣뻣하며 부상을 입는 것을 두려워하지 않는 것으로 보아 절대 정상인이 아닙니다. 장각의 사술로 이렇게 변한 것이 분명합니다.	-5	2	유비: 그러니까， 우리가 지금 좀비 뭐 그런 거랑 싸우고 있단 말이야?	-9	2	제갈량: 그럴 가능성이 높습니다.										
66	0	-5	2	유비: 나 안 해， 나 안 한다고. 차라리 겨울밤에 스트립쇼를 하고 말지 여기서 좀비들이랑 싸우지는 않을 거야!	-1	1	주공: 에이 왜 그래~ 이제 와서 꽁무니를 빼겠다고?	-5	2	유비: 그럼 뭐? 그럼 지금 날 군법으로 다스리겠다는 말이야? 잊지 말라고. 여기 몇몇 사람들은 21세기 문명인들이야.	-1	1	주공: 그런 뜻이 아니라， 그저 어디로 갈 거냐고 물어보는 거지. 혼자 이 사방에 좀비가 득실거리는 곳에서 산책이라도 하겠다는 거야?										
67	0	93	2	조조: 들어보게. 내 경기병을 보내 알아보니 적군의 군영 한가운데에 있는 막사가 우두머리의 막사라는군. 풍채가 좋고 방천화극을 들고 있다는 것으로 보아 여포인 듯하네. 	-1	1	주공: 뭐라고요? 여포요? 그럴 리가요. 여포가 왜 황건적이랑 붙어 먹고 있다는 거예요?	93	2	조조: 그， 그건 나도 잘.. 그나저나 붙어 먹고 있다는 건 무슨 뜻인가?	-1	1	주공: 아， 아닙니다. 제가 흥분을 했나 봅니다.										
68	0	-1	1	주공: 맹덕 형님， 저희 쪽 피해가 점점 심각해집니다. 형님은 적을 물리칠 계책을 가지고 계시지요?	93	2	조조: 적을 물리칠 계책이 어디에 있겠는가， 적군의 수장이 진짜 여포라면 정말 악전고투가 될 걸세.	-1	1	주공: 여포… 삼국시대에서 제일의 전투력을 가졌다고 알려진 맹장이잖아. 하느님 아버지. 이러다 올킬되는거 아냐?	93	2	조조: 자네가 말한 올킬은 또 무엇인가?										
69	0	-9	2	제갈량: 주공， 앞에 방천화극을 가지고 있는 사람은 확실히 여포인 듯합니다.	93	2	조조: 온후 여포， 천하에 적수가 없는 장군이지. 대체 무슨 약을 먹은 건지 지금 그 힘은 견줄 수조차 없네. 내 수하의 몇몇 장군들도 여포의 손에 죽음을 면치 못했지.	-1	1	주공: 이런 사기 같은 일이 대체 어디 있어? 지금까지는 어떻게 버텼는데， 지금 내 목숨 보전도 못하게 생겼구만…	-9	2	제갈량: 주공， 유일한 방법은 양동작전으로 여포를 잠시 묶어 두고 기회를 틈타 철군하는 수 밖에 없습니다. 그렇지 않으면 모두 전멸될 위기에 처할 수 있습니다.										
70	1	-1	1	주공: 맹덕 형님， 지금 잠시 여포를 묶어 둔다고는 하지만 황건적이 쫓아오기라도 하면 우리는 더는 버틸 수 없을 거 같아요	93	2	조조: 허어， 내 수하의 정예 장군들도 얼마 남지 않았다네.	-9	2	제갈량: 장각은 사술로 사람의 혼백을 흡수하고 강력한 힘을 가지게 할 수 있다고 합니다. 여포도 그 술법에 걸려든 듯 한데 사술을 풀 수 있는 방법을 알 수 없습니다.	90002	1	장수1: 보고드립니다. 막사 밖에 한 여인이 와있습니다. 갑옷을 입고 코끼리를 타고 있는데， 자신을 남중대왕 맹획의 부인이라고 칭하며 뵙자고 청하였습니다.										
71	0	-1	1	주공: 축， 축 부인， 장각이 사술로 병사들을 좀비로 만들었다고 하던데 무， 무슨 계책이라도 있으신가요?	-5	2	유비: 저게 지금 여자를 보더니 말까지 더듬고 있네?	-10	2	축융: 모두들 너무 심려하지 마시고 전쟁 준비에 임하세요. 제가 뒤에서 법력으로 사술을 풀겠습니다.													
72	0	-1	1	주공: 역시 미모와 지성을 겸비한 축부인의 도움이 있어 황건적을 상대하기가 더 수월해졌습니다.	-10	2	축융: 과찬의 말씀입니다.	-5	2	유비: 저 봐. 내가 지조가 없다고 했잖아. 저번에는 제갈량， 지금은 다시 축융이네… 남자들은 다 똑같애! 흥!	90002	1	장수1: 여기서는 남자가 다수의 첩을 거느리는 것은 정상적인 일이죠..										
73	0	90014	2	황건적: 이게 어떻게 된 거지? 꿈이라도 꾼 것 같이 머릿속에서 죽이라는 말만 반복된 것만 기억나네.	-1	1	주공: 형제여， 그대들은 장각의 사술에 걸렸었어! 함정에 걸려든 거지. 그 요괴를 위해 목숨 버리지 말고 어서 투항하라고.	90014	2	황건적: 이런 간뎅이가 부은 놈 같으니라고. 그런 오만불손한 말을 입에 담으며 천공장군의 이름을 더럽히다니 네 놈의 목을 내놓아라!													
74	1	-1	1	주공: 헐， 어째 장각의 이름을 얘기하자마자 또 이렇게 갑자기 흥분하고 난리야?	-5	2	유비: 세뇌겠지… 원래 사상교육은 세뇌한다고 하잖아.	-10	2	축융: 모두들 괘념치 마세요. 황건적은 원래 전투력이 매우 뛰어났습니다. 사술이 아니더라도 쉽게 볼 적수는 아니지요. 저희 대왕도 그들로 인해 곤욕을 겪었었습니다.													
75	0	-10	2	축융: 또 사술에 걸린 이들이 몰려옵니다. 내 법력을 받아라!	90014	2	황건적: 응? 내가 왜 여기에 있지? 도대체 여기에 어떻게 온 거야， 왜 아무 것도 기억이 안 나지?	-5	2	유비: 하하 그건 네 놈이 이 몸을 보고 정신이 혼미해져서 그렇지. 내 칼을 받아라!													
76	0	-1	1	주공: 남만의 축융부인， 역시 대단합니다. 게다가 미모도 겸비하고 있으니 삼국연의에서 읽은 그대로 입니다. 하하	-5	2	유비: 뭐야 여왕님 스타일을 좋아했던 거야?	-9	2	제갈량: 맹획에게 들키지 않게 조심하세요~	-1	1	주공: 난 그저 축융부인이 있어서 황건적을 물리치기가 좀 수월하다고 한 것 뿐이야. 잔말 말고 전쟁 준비나 착실히 합시다!										
77	0	86	2	여포: 난 천공장군의 첫 번째 장군인 여봉선이다. 네 놈들이 옥황상제의 명으로 내려온 놈들이라 하여도 내 손에 있는 방천화극과 먼저 붙어야 할 것이다!	-1	1	주공: 아이고 무서워라!	-5	2	유비: 엄훠~멋있어~!	-9	2	제갈량: 박력이 넘치는군요.	-10	2	축융: 모두들 조심하세요. 여포는 아직 사술이 다 풀리지 않았습니다. 그는 지금 반인반요 상태입니다. 만만한 상대가 아닙니다!							
78	1	86	2	여포: 이상하군. 천자를 구하려 낙양 외곽에서 주둔하고 있었는데， 어찌 내가 이렇게 너희에게 잡혀 있단 말인가.	-5	2	유비: 당신이 장각의 술수에 걸려 혼미한 상태가 되어서 쓰러져 있는 걸 제가 구한 거랍니다. 잘 보세요… 절 기억하시겠어요? 제가 바로 소청이옵니다. 호호…	-9	2	제갈량: 하… 저건 아니지 않나요?	-1	1	주공: 봉선， 당신은 장각에게 홀려 조종당하고 있었습니다. 이제 사술이 풀려 당신의 모습으로 돌아온 것이고요. 우리와 함께 장각을 무찌르는 것이 어떻습니까?	86	2	여포: 좋소. 내 지금은 소속이 없으니!							
79	0	-9	2	제갈량: 큰일났습니다. 전국옥새를 장각의 수하에 의해 도둑 맞았습니다!	-1	1	주공: 지금 병사를 보내 쫓으면 늦지 않을지도 몰라.	-9	2	제갈량: 맞습니다. 하지만 장각 또한 대군을 모아 맞이할 것이 분명하니 조심해야 합니다.													
80	0	90002	1	장수1: 주공， 정탐꾼의 보고에 따르면 장각이 이미 전국옥새를 차지하고 자신을 군명천수라 칭하며 낙양에서 황제 등극식을 거행한다고 합니다!	-1	1	주공: 옛날 사람들은 왜 이렇게 황제가 되고 싶어 하는 거야? 역사책에서 황제들은 죄다 일찍 죽는 것도 못 봤나?	-9	2	제갈량: 황제라 칭함은 그저 명목일 뿐인 듯합니다.	-1	1	주공: 왜 그렇게 생각하는 거지?	-9	2	제갈량: 주공， 이 싸움을 끝내고 다시 자세히 이야기해도 늦지 않을 것입니다.							
81	0	90014	2	황건적: 이 몸은 여전히 천공장군 휘하의 신위 기병이다. 우리의 명성을 알고 있다면 항복하라. 그렇지 않으면 너희를 전부 시체로 만들어 줄 것이다!	-9	2	제갈량: 주공 보십시오. 장각이 자신을 황제라 칭하면서， 그것으로 성도를 보호하는 것이 아닌 저희를 상대하는 데 쏟고 있는 것이 이상하다 생각되지 않으십니까?	-1	1	주공: 그건...우리 병력이 많고 장군들이 뛰어나니까 우리를 없애야 해서?	-9	2	제갈량: 아닙니다. 저 신위 기병을 처리하고 나시면 자연히 알게 되실 겁니다.	-1	1	주공: (제갈량， 그냥 좀 말해주지..)							
82	1	-9	2	제갈량: 주공， 보십시오. 이것은 신위 기병의 몸에서 찾은 비밀지령입니다. 장각은 이들을 시켜 절대 저희가 전국옥새를 다시 되찾을 수 없게 하라고 하였습니다.	-1	1	주공: 그럼 장각은 우리가 옥새를 되찾아서 자신이 황제가 될 수 없을까 두려워서 그러는 건가?	-9	2	제갈량: 아닙니다. 황제는 그저 명목상일뿐입니다. 장각은 주도면밀한 인물입니다. 이렇게 급히 황제로 등극할 리가 없습니다. 분명 저희의 시선을 돌리기 위함입니다.	-1	1	주공: 도대체 장각은 무슨 생각을 하는 거야?										
83	0	94	2	사마의: 천공장군은 머지않아 낙양에서 왕위를 계승할 것이다. 어찌 무의미한 발악을 계속하는 것이냐?	-1	1	주공: 사마의! 헐， 죽겠네 정말. 사마의까지 장각의 부하로 변한 거야? 내 추측이 맞는 것 같아. 차원을 이동하면서 모든 것이 비틀어진 거야. 다 변해버렸다고!	-9	2	제갈량: 주공도 알아차리셨나요? 저희가 추측했던 것이 모두 사실로 밝혀졌군요.	-1	1	주공: 에휴， 이렇게 된 걸 어쩌겠어. 죽을 힘을 다 해야지. 이렇게 미인들이 많은 데서 망신당하긴 싫다고…										
84	0	-9	2	제갈량: 장각이 이번에는 반드시 저희를 해치우는 데 온 힘을 쏟을 겁니다. 그럼 옥새는 저희 힘으로 보호하기 힘들 것 같습니다.	-1	1	주공: 옥새에 우리가 모르는 힘이 있는 것이 분명해. 진짜 영웅을 소환할 수 있다던지 말이야.	-5	2	유비: 큰일났어! 황건적이 공격해 오고 있어!													
85	0	90014	2	황건적: 천공장군께서 이미 신도 낙양에서 황제로 등극하셨다! 천명을 어기고 천자의 적이 될 셈이냐! 지금이라도 항복한다면 멸문구족은 면할 것이다!	-1	1	주공: 헐， 그 장각이라는 놈 동작 한번 빠르네.	-9	2	제갈량: 주공 조급해 마십시오. 제가 알아보니 장각은 사실 낙양에 있는 것도 아니고， 실제로 황제가 된 것도 아닌 듯 합니다.	-1	1	주공: 하하， 역시 제갈량이야. 거기 황건적 들어라. 너희 주인은 너희를 사지로 내몰았다고!										
86	1	-9	2	제갈량: 주공， 장각은 가짜 황제가 되었지만 천하의 제후들을 적으로 돌린 것이나 다름 없습니다. 저희는 동맹을 맺어 장각을 물리쳐야 합니다.	-1	1	주공: 맞아， 삼국지에서 나왔던 인물 중에 아직 나오지 않은 사람도 있으니까.	-9	2	제갈량: 북쪽에는 조조가 있고 동쪽에는 손오가 있습니다.													
87	0	-1	1	주공: 툭 하면 황건적이 튀어나오니 원. 미녀 4총사!! 아니， 아니 네 명의 무장들 중 누가 선봉으로 나서겠소?	-7	2	장비: 나는 처음부터 줄곧 주공과 함께 했으니 당연히 나지!	-8	2	장료: 너무 설치는 거 아냐? 우리는 엘리베이터에서부터 같이 온 사이라구.	-6	2	하후돈: 맞아， 한 무대에 선 모델들이라고…	-9	2	제갈량: (중얼중얼)호박 덩어리들 같은 것들이..							
88	0	-9	2	제갈량: 동쪽의 선가는 강동 지역을 장악하고 있습니다. 장각은 이를 큰 우환으로 생각하고 있으니 대량의 병사를 전방에 배치해 놨을 겁니다.	-8	2	장료: 뭐 무서워? 우리는 차원을 이동해 왔다고， 우리 중 누군가 완전 쩌는 능력을 가지고 있지 않겠어?	-1	1	주공: 자자 미녀님들~ 적을 얕잡아 보아서는 안 돼요~! 조심하지 않으면 예쁜 얼굴이 망가질 수 있잖아?													
89	0	108	2	태사자: 멈춰라. 천공장군의 명이시다. 그 어떤이도 동오로 갈 수 없으며， 이에 반하는 자는 즉시 베어버릴 것이다.	-9	2	제갈량: 공자님， 저희 아낙네 몇이 그저 장을 보러 가는 것뿐이옵니다. 통촉해 주시어요. 아니면， 날이 지거든 조용한 곳에서 삶에 대해 이야기 해보시는 건 어떠실까요?	108	2	태사자: 그게…… 이런， 함정이었나!	-1	1	주공: 하하， 미인계가 효과가 있구만! 그대는 용맹은 하지만 머리가 나쁘군. 처치해!										
90	1	108	2	태사자: 이런 비겁한 방법으로 나를 꺾다니. 그러고도 영웅이라고 할 수 있겠느냐!	-1	1	주공: 내가 언제 영웅이라고 했나? 나는 야비하고 얍삽한 사람이야. 그럼 강동으로 가는 길에 너희 병사가 얼마나 있는지 알려주면 살려주겠다	108	2	태사자: 좋다. 모두 말할테니 살려주거라.	-1	1	주공: 헐… 나보다 더 지조가 없는 놈일세!										
91	0	-1	1	주공: 장각은 역시 손권을 미심쩍어 하는군， 그 자가 말하길 이 길의 관문에는 실력 좋은 병사들이 지키고 있다고 하던데. 모두들 어떻게 생각해?	-7	2	장비: 여기까지 하나같이 다 죽이면서 왔는데 뭐가 무섭겠어? 그저 강동에 멋진 오빠들이 많은지 적은지만 알고 싶을 뿐이라구요.	-6	2	하후돈: 동오에 미남들이 많다던데. 예를 들면 주유라던지 말이야. 부끄부끄..	-1	1	주공: 무슨 취향이 그래? 그렇게 동오에 가고 싶으면 이제부터 황건적은 알아서 하라구! 쳇!										
92	0	-1	1	주공: 에휴， 이렇게 열심히 살려고 버둥거리는데 여자친구 하나 없으니， 책 속의 영웅과 미인의 이야기는 왜 나한테는 안 일어나는 거야… 진짜 슬프다.	-6	2	하후돈: 그래봐야 안 생길 거야. 우리도 아직까지 솔로인데.	-9	2	제갈량: 설마 옛날 사람들과 연애를 하고 싶은 것은 아니겠지요?	-1	1	주공: 옛날 사람 말고~! 나 여기 있잖아… 헤헤， 나 정도면 괜찮지 않아?	-7	2	장비: 이 멍청이씨가 뭐래! 니가 선봉에서 싸워!							
93	0	112	2	여몽: 게 섯거라. 쉽게 동오로 갈 수 있을 것 같으냐? 내 이미 강하의 모든 배들을 묶어놨다. 하지만 내 칼이 너희를 물귀신으로 만들어 헤엄쳐 가게 할 수도 있지. 하하!	-8	2	장료: 어디서 미친 놈의 향기가! 이 장료 또한 장도를 사용한다는 것을 잘 알고 있겠지?	-1	1	주공: 이쁜 얼굴 또 안 다치게 조심해서 싸워~~!	-7	2	장비: 흥， 여태껏 내가 싸울 때는 관심도 없더니!	-1	1	주공: 하하. 난 모두에게 관심을 가지고 있다고.							
94	1	-8	2	장료: 됐다. 배가 강 둔치에 있으니 배 몇 척 찾아서 강을 건너자.																			
95	0	105	2	손권: 맹덕 형님께 오신다는 전서구를 받았습니다. 준비가 미흡하여 멀리 마중나가지 못했습니다.	-1	1	주공: 괜찮습니다. 아까 오면서 강변에 빈 집들만 있는 촌락과 수많은 시체들이 있던데， 무슨 일이 있었던 겁니까?	105	2	손권: 황건적이 술사들을 파견하여 역병을 퍼뜨렸습니다. 대다수 백성이 몰살되고 일부는 좀비가 되어 사람을 잡아먹고 있습니다. 군대고 민간이고 인심이 흉흉합니다.	-9	2	제갈량: 손 장군 걱정하지 마십시오. 저희는 황건적 술사를 상대해 본 경험이 있습니다. 이 악행을 저지르는 놈들은 저희에게 맡기시지요!										
96	0	-6	2	하후돈: 이 역병， 어째서 삼국시대에 황건적이 생화학무기를 사용하는 거야?	-9	2	제갈량: 그게 뭐가 이상하다는 겁니까. 서양사람들 눈에는 화약이 신화에 나오는 전설의 물건 같다 하지 않습니까.	-1	1	주공: 황건적 술사들을 상대할 때는 조심해야 해. 또 무슨 계략이 있을지 모르니.													
97	0	-1	1	주공: 이 짐승 같은 놈들. 역병을 퍼뜨리고 백성에게 독을 퍼뜨려서 살아있는 사람을 요괴로 만들다니， 이런 양심에 털 난 것들아!	-6	2	하후돈: 완전 열 받았구나!	90014	2	황건적: 천하가 이리 광활한데 몇 명 죽는게 무슨 대수겠느냐? 천공장군은 대업을 이루실 분이다. 그깟 몇 명 죽는 거나 너희를 죽이는 것 따위는 아무 것도 아닌 일이다!	-6	2	하후돈: 그럼 누가 극형에 처해지나 한 번 볼까!										
98	1	-1	1	주공: 이런 양아치 같은 놈들， 독을 퍼뜨리는 게 멋있다고 생각하나 보지? 내가 바로 백신이다. 각종 악성 바이러스들을 다 치료해 버리겠어!	90014	2	황건적: 장군 살려주십시오. 소인은 그저 명을 받았을 뿐입니다. 장군의 이름을 몰라 뵈다니 소인 큰 죄를 지었습니다.	-9	2	제갈량: 목숨을 부지하고 싶으면 그에 상응하는 것이 있어야지. 강동에 병사는 얼마나 더 있느냐? 어디에 주둔하고 있지?													
99	0	-9	2	제갈량: 주공， 저희가 처리한 놈들은 강동에 파견된 부대의 일부분일 뿐입니다. 강동 본거지를 뿌리 뽑지 않는다면 역병이 확산되어 점점 시체가 늘어나게 될 것입니다.	-7	2	장비: 맞아. 난 귀신영화가 제일 무서운데. 이 시체들이 내 침대까지 기어올라오면 어떡하지?	-1	1	주공: 무서워할 것 없어. 같이 침대에 있어 줄께	-9	2	제갈량: 흠흠. 주공， 다시 본론으로 돌아오시죠…										
100	0	-9	2	제갈량: 주공， 그 술사들에 따르면 이곳이 바로 그들의 강동 본거지입니다.	-1	1	주공: 좋아. 어서 해치워버리자. 강동의 생화학무기들을 다 쓸어버리자고!	-1	1	주공: 어라? 왜 아무도 없는 거지?	104	2	가후: 하하， 드디어 오셨습니까. 소생 독사라 하옵니다. 이 독사의 위대함은 모두들 다 알고들 계시겠지요. 하하， 소인 손님을 마중하러 나왔습니다.	-1	1	주공: 가후 이 자식!  함정이었나! 이 늙은 변태 자식!							
101	1	-1	1	주공: 위험했다. 죽을뻔했어!	-6	2	하후돈: 나하고 장료가 없었으면 지금쯤 시체가 되어있었을 거야.	-1	1	주공: 너희들의 은혜가 하해와 같으니 오늘 이 은혜를 꼭 갚고 싶구나! 밤에 나의 처소로 둘다 오너라!	-1	1	주공: ……아야야， 미안!! 자비를 베풀어 얼굴만은 때리지 마!										
102	0	-1	1	주공: 현덕， 정말 이렇게 가버린 거야? 주여， 이번 차원 이동은 내가 알고 있는 차원 이동하고 너무 다르잖아!	105	2	손권: 안타까운 일이나 너무 상심하지 마십시오. 시급한 일은 채문희를 찾는 것입니다. 밀서를 얻어 옥새의 비밀을 알게 되면 황건적을 물리칠 수 있을 겁니다.	-1	1	주공: 그럼 지금 출발하자， 황건적 놈들을 다 죽여버릴 테다， 현덕의 복수를 위해!													
103	0	41	2	위연: 딱 맞춰서 왔구나. 내 천공장군의 명을 받아 네 목을 받으러 왔다!	-1	1	주공: 위연! 장각이란 놈을 무시할 수 없군. 우리는 함께 이쪽으로 넘어왔고， 오늘은 현덕을 잃었어. 황건적 놈들의 머리를 현덕을 위해 바칩시다!	-7	2	장비: 빌어먹을 황건적 놈들， 목숨을 내어 놓아라!													
104	0	-4	2	채문희: 당신들은 손 장군님의 사람들인지요?	-1	1	주공: 네… 아， 당신이었군요! 그때 우리 같은 엘리베이터에 타고 있었잖아요!	-4	2	채문희: 예? 정말 우연이군요. 하지만 지금은 이런 얘기를 하고 있을 시간이 없습니다. 황건적들이 저를 죽이려 쫓고 있어요. 곧 들이닥칠 겁니다!	-1	1	주공: 걱정 마세요， 그 놈들은 저희가 다 없애버릴 겁니다!										
105	1	-1	1	주공: 맹덕의 밀서를 저희에게 전달해주시기로 하셨다던데요?	-4	2	채문희: 맞습니다. 보시지요.	-1	1	주공: (서신을 받는다) 전국옥새에 이런 능력이 숨겨져 있었다니. 물질의 속성을 바꾸는 거였어. 조조가 당한 것도 장각이 이 능력을 이용해 군대를 만들었기 때문이군!	-9	2	제갈량: 역시 장각의 황제 등극은 명목상이었습니다. 뒤에서 전국옥새의 힘을 이용하고 있었다니.	-1	1	주공: 이제 죽었구나!							
106	0	90002	1	장수1: 주공， 큰일났습니다， 또 황건적들 입니다. 보아하니 이번에는 칼조차 들어가지 않을 것 같습니다!	-1	1	주공: 또 좀비 군대 아니야?	-4	2	채문희: 장각의 사술은 너무도 막강합니다. 싸우고 후퇴하면서 손 장군과 합류해 다시 일을 도모해야 합니다.													
107	0	83	2	방통: 나는 봉추 방통이다. 너희는 들으라. 지금 채문희를 넘겨주면 시체만은 온전히 보전해 주겠다!	90002	1	장수1: 주공 조심하십시오. 저 놈들 모두 정상이 아닙니다. 검을 무서워하지 않습니다.	-9	2	제갈량: 주공 조심하십시오. 질질 끌어서는 안 됩니다. 적군을 쓸어버리는 일은 손권과 합류한 후에도 늦지 않습니다.													
108	1	83	2	방통: 오늘은 네놈들이 운이 좋아 도망갈 수 있지만 우리 무적의 천군이 앞에서 기다리고 있다. 네놈들 목이 자라 목처럼 잔뜩 웅크려 있구나， 하하!	-1	1	주공: 빌어먹을 장각. 하루 종일 흑마법을 쓰다니!  뭐가 잘못돼도 단단히 잘못된 거 아냐?	90002	1	장수1: 주공， 한신은 다리 사이로 엎드려 지나가는 굴욕을 참았다고 합니다. 대장부는 한 순간의 득과 실을 두려워하지 않는 법입니다.	-1	1	주공: 손권과 합류하면 반드시 이놈들을 다 깨부숴 버릴 테다!										
109	0	50	2	맹획: 여러분， 장각의 군대는 본왕에게 맡기시지요. 여러분은 본거지에 들어가는 일만 신경쓰십시오. 전국옥새만 되찾으면 장각의 사술은 효력을 발휘하지 못할 겁니다!	-1	1	주공: 맹획 대왕님께서 이렇게 도움이 되실지 몰랐습니다. 그 지혜의 깊이가 하해와 같으니 이제 부터 고정관념은 다 버려야겠습니다.	-9	2	제갈량: 맹획께서 무법으로 도움을 주시지만， 주공 너무  믿지 마십시오. 장각은 천하 제일의 술사입니다. 맹획님이 막아낼 수 있을지 아직 모르는 일입니다.	-1	1	주공: 상관없어. 끝까지 해봐야지. 자 출발하자!										
110	0	-1	1	주공:  하， 참. 이놈의 황건적들 왜 이렇게 상대하기가 힘든 거야， 전투력이 왜 이렇게 강해??	50	2	맹획: 장군 심려치 마십시오， 이 황건적들은 제게 맡기시고 저 작은 부대들만 처리하시면 됩니다.	-1	1	주공: 많은 도움을 받았습니다. 맹획 대왕이 없었다면 이 미친놈마냥 날뛰는 황건적들을 이길 수 있었을지 장담할 수가 없었겠군요.													
111	0	60	2	전위: 어떻게 이 곳에 강동의 군대가 있는 거지? 분명히 우리 본거지를 습격하러 온 것이다! 먼저 이 놈들을 막아내고 천공장군에게 보고해야 한다!	-9	2	제갈량: 주공， 적들이 장각에게 보고를 하려고 하는 것 같습니다. 하나라도 도망가게 내버려 두면 장각에게 보고가 들어가 일이 커질 것입니다.	-1	1	주공: 모두들 들어라. 남김없이 사살하라!													
